mean_score,mean_time
1627.2333333333333,0.0003340333333333333
4316.0,0.00040330000000000005
3901.1666666666665,0.0005668
14475.866666666667,0.0005669333333333333
149566.16666666666,0.0005999666666666667
113741.06666666667,0.0005667666666666667
89568.3,0.0008016
165510.1,0.0006284
22912.933333333334,0.0008340666666666667
270544.6666666667,0.0008006
206297.66666666666,0.0009124000000000002
149411.03333333333,0.0009676000000000001
417196.8,0.0009665999999999998
36761.333333333336,0.0011332000000000002
316764.1,0.001333466666666667
107312.7,0.001133
202093.13333333333,0.0012671666666666667
407939.0,0.0011998333333333336
