124367.500000,28.829325
124220.500000,29.934393
124111.500000,29.026872
124156.500000,30.812394
124210.500000,28.764860
124221.500000,30.007940
124317.500000,29.320325
124241.500000,29.082870
124265.500000,30.175360
124367.500000,28.466863
124362.500000,29.332454
124259.500000,29.569264
124449.500000,28.693804
124367.500000,28.195774
124285.500000,29.908360
124245.500000,27.731776
124335.500000,31.118930
124342.500000,29.656376
124267.500000,28.609784
124316.500000,29.323303
124472.500000,28.499353
124275.500000,29.745401
124171.500000,29.086287
124236.500000,28.514102
124288.500000,29.870788
124241.500000,28.827340
124360.500000,29.798896
124196.500000,29.511821
124316.500000,29.181297
124316.500000,30.187350
